booking_id,hotel,lead_time,year,Month,Day,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,market_segment,distribution_channel,previous_cancellations,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,average_daily_rate,total_of_special_requests,reservation_status
100447,Resort Hotel,138,2024,August,19,0,2,2,0,1,CAN,Groups,Direct,4,1,Non Refund,108,48,Transient,308.18,4,Check-Out
100448,City Hotel,205,2024,February,22,0,4,1,2,1,USA,Groups,Direct,3,0,No Deposit,453,49,Group,231.17,4,Check-Out
100449,Resort Hotel,15,2023,March,4,4,1,3,0,1,UAE,Groups,GDS,1,3,Non Refund,264,44,Transient-Party,66,5,Check-Out
100450,City Hotel,362,2023,October,6,2,3,2,1,1,NLD,Offline TA/TO,Direct,0,4,Refundable,15,19,Transient,259.59,2,Check-Out
100451,Resort Hotel,146,2025,May,26,2,6,3,0,1,SGP,Corporate,Direct,5,3,Non Refund,392,33,Group,275,2,Canceled
100452,City Hotel,8,2025,January,2,0,2,4,1,,CAN,Direct,GDS,2,4,Refundable,425,32,Group,340.72,3,Check-Out
100453,City Hotel,284,2023,July,15,4,1,3,1,1,GBR,Offline TA/TO,Corporate,4,4,Refundable,28,10,Transient-Party,171.96,3,Check-Out
100454,City Hotel,254,2024,November,1,4,1,2,1,1,NLD,Direct,TA/TO,5,2,Non Refund,166,38,Transient,234.12,1,Check-Out
100455,City Hotel,200,2025,May,25,1,7,2,2,1,NLD,Corporate,Corporate,4,1,Refundable,228,4,Contract,129.06,2,Check-Out
100456,Resort Hotel,250,2024,November,13,3,7,3,1,1,AUS,Offline TA/TO,Direct,2,1,Refundable,69,11,Contract,196.27,4,Check-Out
100457,Resort Hotel,311,2024,March,27,2,2,3,2,1,USA,Direct,TA/TO,2,2,Refundable,304,12,Transient-Party,155.79,5,Check-Out
100458,City Hotel,248,2025,November,28,0,1,4,1,1,GBR,Groups,TA/TO,0,4,Refundable,358,19,Contract,291.5,2,Canceled
100459,Resort Hotel,262,2024,March,3,2,7,4,1,0,NLD,Direct,GDS,3,3,No Deposit,88,33,Group,229,3,Check-Out
100460,City Hotel,56,2025,October,1,1,1,2,2,1,CAN,Groups,Direct,2,0,Refundable,495,25,Transient,295.17,4,Check-Out
100461,Resort Hotel,35,2025,March,1,1,4,1,1,1,AUS,Direct,TA/TO,1,4,Refundable,245,45,Contract,254.94,5,Canceled
100462,City Hotel,212,2024,January,11,1,3,1,0,0,FRA,Groups,TA/TO,5,0,Refundable,47,17,Contract,307.76,0,Check-Out
100463,Resort Hotel,278,2025,July,16,1,7,2,2,1,USA,Online TA,Direct,3,2,No Deposit,411,35,Contract,210.4,1,Check-Out
100464,Resort Hotel,99,2025,October,17,3,3,4,0,0,GBR,Online TA,TA/TO,5,2,Non Refund,397,41,Transient-Party,159.53,2,Check-Out
100465,Resort Hotel,94,2025,August,16,2,5,1,1,0,FRA,Corporate,GDS,1,3,No Deposit,346,48,Contract,269.06,3,Canceled
100466,City Hotel,335,2025,May,21,2,4,4,0,0,USA,Offline TA/TO,TA/TO,1,2,Non Refund,179,44,Group,188.92,2,Check-Out
100467,Resort Hotel,,2025,November,12,2,7,2,0,1,FRA,Groups,GDS,2,4,Refundable,76,45,Contract,349.65,3,Canceled
100468,City Hotel,163,2025,August,1,3,6,1,2,0,FRA,Offline TA/TO,Corporate,3,4,No Deposit,464,10,Transient,70.03,0,Canceled
100469,City Hotel,264,2023,September,26,0,3,3,2,1,DEU,Corporate,Direct,5,1,Refundable,118,20,Contract,274.58,2,Check-Out
100470,City Hotel,59,2025,September,20,2,3,2,2,0,GBR,Offline TA/TO,GDS,2,3,Refundable,256,39,Group,183.59,0,Canceled
100471,City Hotel,182,2025,July,20,2,6,1,1,0,USA,Offline TA/TO,GDS,1,1,No Deposit,449,20,Transient-Party,154.83,3,Check-Out
100472,Resort Hotel,265,2023,January,3,2,4,3,1,1,USA,Groups,Corporate,2,0,Non Refund,95,44,Contract,155.65,2,Check-Out
100473,Resort Hotel,128,2025,May,18,2,1,3,2,1,DEU,Offline TA/TO,Corporate,5,1,No Deposit,486,27,Contract,264.91,4,No-Show
100474,Resort Hotel,64,2025,March,9,2,3,3,0,0,NLD,Online TA,TA/TO,2,4,Non Refund,352,23,Contract,91.7,2,Check-Out
100475,,72,2024,March,28,4,7,1,1,0,GBR,Offline TA/TO,Direct,0,0,No Deposit,227,44,Transient,306.13,1,Check-Out
100476,City Hotel,26,2023,December,4,4,4,2,1,1,FRA,Groups,TA/TO,4,4,Refundable,210,29,Contract,324.5,2,Canceled
100477,City Hotel,158,2024,April,13,0,2,1,1,1,CAN,Direct,Direct,2,0,Non Refund,31,18,Contract,338.52,4,Canceled
100478,Resort Hotel,322,2024,August,24,4,3,3,2,1,CAN,Online TA,Corporate,1,0,Refundable,490,19,Group,72.32,1,Check-Out
100479,Resort Hotel,298,2025,May,4,1,3,2,1,1,NLD,Groups,Direct,0,2,No Deposit,319,28,Contract,245.7,1,Canceled
100480,Resort Hotel,210,2025,May,24,0,5,2,0,0,NLD,Corporate,TA/TO,2,1,Non Refund,355,15,Contract,321.7,5,No-Show
100481,City Hotel,288,2025,November,6,3,5,2,0,0,FRA,Corporate,Corporate,0,0,Non Refund,477,6,Transient,286.74,2,Check-Out
100482,City Hotel,281,2025,July,14,0,6,2,2,1,DEU,Corporate,TA/TO,1,3,Refundable,291,40,Transient-Party,307.82,5,Check-Out
100483,City Hotel,365,2023,August,22,0,2,3,2,1,IND,Offline TA/TO,TA/TO,3,0,No Deposit,384,34,Transient,252.58,3,Check-Out
100484,City Hotel,113,2024,October,11,3,6,4,0,1,DEU,Corporate,TA/TO,5,1,Refundable,117,16,Group,206.01,5,Check-Out
100485,Resort Hotel,170,2024,March,9,3,6,1,1,0,UAE,Direct,GDS,1,1,No Deposit,169,20,Contract,207.31,3,Check-Out
100486,City Hotel,241,2025,March,15,1,1,4,0,1,GBR,Corporate,TA/TO,4,0,Non Refund,342,43,Group,285.44,0,Check-Out
100487,Resort Hotel,23,2025,March,28,2,5,2,2,0,NLD,Corporate,TA/TO,4,0,Refundable,385,25,Contract,333.88,0,Check-Out
100488,Resort Hotel,147,2024,June,21,3,2,1,2,0,NLD,Offline TA/TO,Corporate,0,0,Non Refund,370,47,Contract,215.76,5,Check-Out
100489,City Hotel,179,2025,June,4,1,7,2,0,1,DEU,Groups,Corporate,2,3,,175,39,Contract,301.47,5,Canceled
100490,Resort Hotel,307,2025,December,15,1,2,4,2,0,UAE,Groups,Direct,5,2,No Deposit,10,24,Group,62.53,5,Check-Out
100491,City Hotel,169,2023,November,27,0,4,4,1,1,DEU,Offline TA/TO,Direct,0,4,No Deposit,394,28,Transient-Party,348.84,1,Check-Out
100492,City Hotel,76,2024,February,25,3,4,2,0,1,SGP,Direct,Direct,3,2,Refundable,488,24,Transient,163.41,3,Canceled
100493,Resort Hotel,81,2025,October,5,4,2,2,0,0,IND,Corporate,GDS,0,3,Non Refund,469,49,Transient,142.2,3,Check-Out
100494,City Hotel,156,2024,March,7,2,3,4,1,0,IND,Direct,GDS,3,1,Non Refund,390,35,Group,144.29,2,Check-Out
100495,City Hotel,284,2023,January,26,2,1,4,1,1,UAE,Offline TA/TO,TA/TO,0,4,Refundable,141,31,Transient-Party,94.44,3,Canceled
100496,City Hotel,40,2024,October,8,4,2,1,0,0,SGP,Offline TA/TO,GDS,2,1,Refundable,154,47,Transient,76.7,2,Check-Out
100497,Resort Hotel,181,2025,February,3,3,7,1,0,0,SGP,Groups,Corporate,3,0,No Deposit,273,9,Group,112.74,0,Canceled
100498,City Hotel,46,2025,October,15,0,2,1,0,1,SGP,Corporate,Direct,2,0,Refundable,225,45,Group,258.41,5,No-Show
100499,City Hotel,67,2025,November,17,1,1,4,0,0,DEU,Offline TA/TO,Corporate,0,2,No Deposit,77,4,Group,56.57,3,Check-Out
100500,City Hotel,309,2023,April,11,0,6,1,2,1,AUS,Groups,TA/TO,4,2,Non Refund,282,26,Group,155.06,2,Check-Out
100501,City Hotel,238,2023,October,26,4,7,4,1,0,USA,Online TA,Corporate,5,4,Refundable,62,10,Group,109.87,5,Check-Out
100502,City Hotel,309,2023,November,22,2,4,1,0,1,AUS,Direct,Direct,0,1,Refundable,384,21,Group,200.2,3,Check-Out
100503,Resort Hotel,221,2025,February,17,2,6,1,0,0,USA,Online TA,Direct,3,0,Non Refund,239,21,Transient-Party,265.16,1,Check-Out
100504,Resort Hotel,10,2025,June,24,2,3,2,2,1,IND,Direct,GDS,2,3,Refundable,332,32,Group,265.52,5,Check-Out
100505,City Hotel,0,2023,July,3,4,3,3,2,1,GBR,Corporate,Corporate,3,4,Refundable,157,3,Transient,154.94,2,Canceled
100506,City Hotel,252,2025,May,13,2,2,1,1,0,NLD,Groups,GDS,0,1,Refundable,121,11,Transient,300.86,3,Canceled
100507,Resort Hotel,174,2023,July,8,2,2,1,2,1,FRA,,Direct,0,1,Refundable,364,34,Transient-Party,348.85,0,Check-Out
100508,Resort Hotel,91,2023,July,1,3,6,1,1,1,NLD,Corporate,Corporate,0,3,No Deposit,473,14,Contract,308.97,2,Check-Out
100509,Resort Hotel,71,2023,February,18,2,4,1,2,1,UAE,Direct,GDS,4,0,No Deposit,411,8,Transient,55.54,0,Canceled
100510,Resort Hotel,201,2024,September,27,4,1,4,2,0,AUS,Groups,GDS,5,2,Refundable,400,45,Contract,111.78,3,Check-Out
100511,Resort Hotel,5,2023,July,23,3,7,1,0,0,SGP,Online TA,Direct,1,0,Refundable,3,4,Transient-Party,113.85,3,Check-Out
100512,Resort Hotel,347,2025,August,12,3,4,3,1,0,NLD,Corporate,Corporate,0,4,Non Refund,318,30,Contract,127.61,0,Check-Out
100513,City Hotel,229,2025,November,5,3,6,3,1,1,SGP,Direct,Corporate,3,2,Refundable,172,44,Group,281.52,5,Canceled
100514,City Hotel,270,2024,May,26,,3,2,0,1,SGP,Offline TA/TO,Corporate,5,3,No Deposit,47,23,Group,251.88,4,Canceled
100515,Resort Hotel,235,2025,March,5,4,3,2,0,0,DEU,Direct,TA/TO,4,1,Refundable,171,8,Transient-Party,135.69,4,Canceled
100516,City Hotel,254,2024,January,25,3,3,2,0,1,GBR,Online TA,Direct,5,4,Non Refund,264,6,Transient,99.38,5,Check-Out
100517,Resort Hotel,38,2025,March,28,0,7,4,1,0,SGP,Corporate,GDS,0,2,No Deposit,394,15,Transient-Party,327.98,5,Check-Out
100518,Resort Hotel,51,2023,November,10,1,7,2,2,1,DEU,Online TA,Corporate,5,0,Non Refund,210,4,Group,143.63,3,Check-Out
100519,City Hotel,46,2023,August,21,1,4,4,1,0,CAN,Direct,Direct,0,1,Non Refund,209,20,Contract,253.8,0,Canceled
100520,Resort Hotel,66,2025,July,14,1,1,2,1,1,GBR,Direct,Corporate,4,3,No Deposit,43,48,Transient-Party,125.85,1,Canceled
100521,City Hotel,39,2023,March,9,1,7,3,0,0,DEU,Corporate,Corporate,5,4,Refundable,96,18,Transient,173.61,1,Canceled
100522,Resort Hotel,204,2025,June,17,4,3,4,1,0,SGP,Groups,TA/TO,4,0,No Deposit,1,16,Transient-Party,300.77,3,Check-Out
100523,City Hotel,315,2024,April,12,2,6,3,0,1,GBR,Groups,GDS,2,3,Refundable,203,20,Contract,326.79,1,Check-Out
100524,City Hotel,314,2023,September,1,3,5,2,0,0,GBR,Corporate,GDS,4,0,No Deposit,99,7,Group,282.02,4,Check-Out
100525,Resort Hotel,60,2025,August,2,3,7,2,0,1,AUS,Online TA,Corporate,0,1,Refundable,341,8,Contract,117.82,3,Check-Out
100526,Resort Hotel,209,2024,June,9,1,2,2,2,1,AUS,Offline TA/TO,GDS,3,4,Refundable,163,47,Contract,218.71,0,Canceled
100527,Resort Hotel,284,2023,October,6,0,5,2,0,1,GBR,Direct,GDS,0,0,Non Refund,463,48,Transient-Party,98.63,3,Check-Out
100528,City Hotel,23,2023,November,23,0,1,1,0,1,IND,Online TA,TA/TO,5,0,Refundable,135,11,Contract,340.95,2,Check-Out
100529,City Hotel,178,2025,February,1,3,2,1,0,0,CAN,Direct,TA/TO,4,3,No Deposit,141,14,Contract,123.86,4,Check-Out
100530,Resort Hotel,80,2025,May,24,4,1,2,2,1,NLD,Offline TA/TO,GDS,4,0,No Deposit,276,16,Transient-Party,280.35,2,Check-Out
100531,Resort Hotel,359,2023,October,3,3,4,1,0,0,CAN,Groups,TA/TO,4,3,Refundable,347,28,Transient,234.87,3,Check-Out
100532,Resort Hotel,308,2025,March,8,3,2,1,1,0,UAE,Direct,GDS,4,3,Refundable,465,23,Transient,172.03,4,Check-Out
100533,City Hotel,355,2025,May,13,2,7,4,1,0,FRA,Direct,GDS,1,4,Refundable,213,24,Transient,241.92,5,Check-Out
100534,City Hotel,325,2023,November,12,2,6,4,1,0,GBR,Direct,Corporate,5,3,No Deposit,126,2,Transient,94.79,2,Check-Out
100535,Resort Hotel,21,2023,August,4,3,6,2,1,0,UAE,Online TA,GDS,0,2,Refundable,93,33,Group,141.81,3,Canceled
100536,Resort Hotel,356,2025,April,6,3,6,4,2,0,AUS,Groups,TA/TO,2,0,Refundable,411,3,Group,225.25,3,Check-Out
100537,Resort Hotel,169,2024,March,18,3,6,3,0,0,USA,Corporate,GDS,4,4,No Deposit,349,20,Transient,99.56,1,Check-Out
100538,Resort Hotel,283,2024,July,7,1,3,3,0,0,CAN,Direct,GDS,4,2,Non Refund,47,0,Transient-Party,107.91,0,Canceled
100539,Resort Hotel,234,2023,February,20,0,6,3,1,1,CAN,Online TA,Corporate,5,2,No Deposit,179,12,Transient,54.69,4,Check-Out
100540,City Hotel,199,2025,February,28,4,3,4,1,1,UAE,Groups,TA/TO,3,1,Refundable,358,30,Contract,336.97,1,Check-Out
100541,Resort Hotel,356,2023,July,22,1,2,2,0,1,NLD,Direct,TA/TO,5,3,Refundable,391,16,Transient-Party,299.8,1,Check-Out
100542,City Hotel,361,2024,November,21,4,1,4,2,0,DEU,Groups,GDS,2,4,Refundable,118,45,Transient,144.84,3,Check-Out
100543,City Hotel,298,2023,July,16,4,1,3,0,0,IND,Corporate,TA/TO,3,3,No Deposit,379,33,Contract,130.92,4,Check-Out
100544,City Hotel,88,2025,June,22,3,7,3,1,0,UAE,Direct,GDS,4,2,No Deposit,101,38,Transient-Party,268.79,4,Check-Out
100545,Resort Hotel,218,2024,February,26,0,4,4,1,0,AUS,Corporate,TA/TO,2,0,No Deposit,305,42,Transient-Party,283.67,5,Check-Out
100546,City Hotel,273,2025,November,10,2,1,1,0,1,FRA,Offline TA/TO,Direct,0,3,No Deposit,132,32,Transient-Party,246.36,3,Check-Out
100547,Resort Hotel,66,2025,September,24,2,7,2,2,0,CAN,Offline TA/TO,TA/TO,5,2,Refundable,499,23,Transient-Party,73.48,1,Canceled
100548,Resort Hotel,353,2025,September,24,3,6,2,1,0,DEU,Direct,Direct,,0,Non Refund,219,40,Transient,168.7,1,Canceled
100549,Resort Hotel,140,2025,April,17,4,2,1,1,0,CAN,Corporate,Direct,3,4,Refundable,258,38,Contract,104.44,1,Check-Out
100550,City Hotel,158,2024,September,11,4,4,3,2,1,AUS,Direct,Corporate,3,4,Refundable,414,43,Transient,193.91,3,Canceled
100551,City Hotel,98,2024,September,16,4,4,3,0,0,SGP,Offline TA/TO,TA/TO,2,3,No Deposit,292,23,Transient-Party,87,2,Canceled
100552,City Hotel,113,2025,November,7,3,2,2,1,0,GBR,Direct,Direct,2,0,Refundable,316,2,Transient-Party,192.24,1,No-Show
100553,Resort Hotel,156,2023,July,17,3,3,3,1,0,NLD,Direct,GDS,5,0,No Deposit,74,13,Contract,292.6,4,Check-Out
100554,City Hotel,285,2023,November,12,4,3,3,1,0,AUS,Online TA,Direct,,1,Non Refund,457,8,Transient-Party,236.54,3,Check-Out
100555,Resort Hotel,268,2023,July,15,2,5,3,0,0,AUS,Online TA,GDS,0,1,No Deposit,194,39,Transient,258.06,3,Check-Out
100556,Resort Hotel,171,2025,March,15,4,7,2,1,0,CAN,Offline TA/TO,Corporate,4,2,Refundable,364,47,Contract,177.64,0,Canceled
100557,City Hotel,11,2024,November,20,1,6,3,1,1,FRA,Online TA,Corporate,0,3,Non Refund,67,31,Contract,290.24,3,Check-Out
100558,Resort Hotel,213,2024,February,16,0,7,1,2,1,GBR,Online TA,Corporate,1,3,Refundable,41,38,Group,292.47,4,Check-Out
100559,City Hotel,261,2023,August,10,0,6,2,1,0,IND,Online TA,Direct,4,2,Refundable,137,21,Contract,,1,Check-Out
100560,City Hotel,6,2024,June,23,2,4,3,1,0,NLD,Offline TA/TO,Direct,2,3,Non Refund,218,25,Group,181.5,0,Canceled
100561,City Hotel,285,2024,February,1,2,4,3,2,1,SGP,Groups,Direct,2,1,Non Refund,286,32,Group,212.18,3,Check-Out
100562,City Hotel,159,2023,July,16,1,4,4,2,1,FRA,Online TA,Corporate,2,1,No Deposit,198,3,Transient-Party,315.56,1,Check-Out
100563,City Hotel,90,2024,April,9,0,7,1,0,1,USA,Online TA,Direct,5,4,Refundable,363,15,Transient-Party,140.79,4,Canceled
100564,City Hotel,48,2024,November,1,4,4,1,0,1,IND,Groups,GDS,1,0,Non Refund,494,36,Contract,254.9,0,Canceled
100565,Resort Hotel,267,2025,May,12,0,7,4,1,0,SGP,Corporate,Direct,0,3,No Deposit,,5,Contract,325.64,2,Canceled
100566,Resort Hotel,312,2025,December,2,4,6,4,1,1,NLD,Offline TA/TO,GDS,0,1,Non Refund,25,47,Transient-Party,81.04,4,Check-Out
100567,City Hotel,253,2024,November,18,4,2,1,2,1,IND,Offline TA/TO,TA/TO,3,2,Refundable,129,9,Group,92.54,4,Canceled
100568,Resort Hotel,166,2023,March,15,3,3,4,0,0,AUS,Corporate,GDS,1,0,No Deposit,488,11,Group,291.81,4,Canceled
100569,Resort Hotel,318,2024,February,13,4,7,4,0,0,AUS,Corporate,Corporate,0,2,Non Refund,422,2,Contract,256.9,3,Check-Out
100570,Resort Hotel,23,2024,January,28,1,7,3,2,1,CAN,Groups,GDS,4,1,Refundable,271,19,Contract,275.42,2,Canceled
100571,Resort Hotel,119,2023,July,22,0,3,2,1,0,AUS,Corporate,Corporate,2,1,No Deposit,71,7,Transient-Party,246.9,1,No-Show
100572,Resort Hotel,259,2025,July,9,0,2,4,0,1,SGP,Online TA,Direct,5,2,Non Refund,86,9,Contract,305.91,1,Check-Out
100573,City Hotel,167,2024,June,2,4,6,4,2,0,DEU,Online TA,Direct,4,3,No Deposit,202,37,Transient-Party,278.88,4,Check-Out
100574,City Hotel,131,2025,May,4,3,7,3,1,1,UAE,Direct,TA/TO,0,4,Refundable,,15,Group,135.07,4,Check-Out
100575,Resort Hotel,90,2025,June,20,0,1,,0,1,USA,Direct,GDS,5,,Non Refund,215,10,Group,159.01,2,Check-Out
100576,City Hotel,152,2025,September,14,2,5,2,1,1,UAE,Online TA,GDS,4,2,Non Refund,215,25,Group,131.07,2,Check-Out
100577,City Hotel,250,2023,August,19,0,1,4,2,0,DEU,Offline TA/TO,Direct,1,0,Refundable,330,27,Group,151.71,1,Check-Out
100578,Resort Hotel,297,2024,October,1,2,2,2,2,1,CAN,Online TA,GDS,4,0,No Deposit,460,38,Contract,238.4,3,Canceled
100579,Resort Hotel,61,2023,February,15,3,2,2,2,0,NLD,Direct,Corporate,5,0,Refundable,48,6,Transient-Party,330.92,1,Check-Out
100580,City Hotel,357,2024,August,1,0,5,3,0,0,USA,Online TA,Direct,3,2,No Deposit,375,44,Transient,232.54,3,Canceled
100581,City Hotel,37,2023,April,10,4,1,3,0,1,SGP,Corporate,TA/TO,5,0,Refundable,444,0,Transient,329.13,0,Canceled
100582,Resort Hotel,,2025,June,11,0,1,2,0,1,SGP,Groups,GDS,2,,Non Refund,194,30,Transient,98.96,0,Check-Out
100583,Resort Hotel,209,2025,January,25,4,4,4,1,1,NLD,Groups,GDS,1,0,Refundable,337,14,Transient-Party,269.63,4,Check-Out
100584,Resort Hotel,142,2023,March,18,4,4,4,0,0,GBR,Online TA,Direct,4,4,Refundable,30,18,Transient,196.9,4,Check-Out
100585,Resort Hotel,218,2025,October,27,3,7,3,0,1,NLD,Direct,Direct,1,2,Non Refund,238,38,Contract,276.63,3,Check-Out
100586,Resort Hotel,226,2023,August,11,3,4,2,0,0,CAN,Groups,GDS,3,2,No Deposit,397,49,Transient-Party,302.75,5,No-Show
100587,City Hotel,115,2024,February,28,0,1,1,1,1,GBR,Corporate,TA/TO,,2,Refundable,10,46,Transient,141.26,2,Check-Out
100588,City Hotel,35,2023,April,18,1,1,2,1,0,CAN,Direct,Direct,3,3,Non Refund,100,14,Contract,70.73,3,Canceled
100589,City Hotel,199,2024,July,10,0,2,2,1,0,SGP,Corporate,TA/TO,3,2,No Deposit,179,38,Transient,333.29,5,Canceled
100590,Resort Hotel,56,2023,December,8,3,1,2,2,1,AUS,Online TA,Corporate,0,2,No Deposit,21,23,Transient-Party,349.26,5,Canceled
100591,Resort Hotel,229,2023,May,18,3,3,3,2,1,UAE,Corporate,GDS,0,3,Refundable,293,38,Transient-Party,134.23,3,Canceled
100592,Resort Hotel,91,2025,January,2,2,3,1,2,0,USA,Offline TA/TO,TA/TO,0,0,Non Refund,60,3,Transient-Party,322.86,3,Check-Out
100593,Resort Hotel,260,2025,August,2,2,2,2,1,0,AUS,Corporate,Direct,3,2,No Deposit,375,32,Transient-Party,252.23,4,Check-Out
100594,Resort Hotel,107,2024,January,4,2,2,3,0,1,SGP,Online TA,Direct,2,4,Non Refund,477,39,Group,127.01,3,Check-Out
100595,Resort Hotel,324,2023,February,21,3,3,1,0,1,NLD,Groups,TA/TO,5,2,Refundable,487,15,Contract,282.87,3,Check-Out
100596,Resort Hotel,160,2025,January,4,0,3,2,1,1,CAN,Online TA,Corporate,4,1,No Deposit,131,24,Transient,164.81,0,Check-Out
100597,City Hotel,193,2023,October,26,1,1,4,1,1,IND,Online TA,GDS,0,1,Non Refund,113,31,Transient-Party,83.99,3,Canceled
100598,City Hotel,22,2023,February,15,3,7,2,1,1,AUS,Direct,Corporate,2,4,Non Refund,64,39,Contract,171.91,5,Check-Out
100599,City Hotel,2,2023,October,26,3,5,1,1,1,FRA,Offline TA/TO,GDS,3,2,Non Refund,133,11,Contract,76.66,5,Check-Out
100600,Resort Hotel,80,2024,April,2,3,2,1,1,1,SGP,,Corporate,0,1,Refundable,399,11,Transient,187.88,4,Check-Out
100601,Resort Hotel,157,2023,August,14,2,3,2,2,,SGP,Corporate,TA/TO,0,2,No Deposit,417,33,Transient-Party,138.17,1,Check-Out
100602,Resort Hotel,222,2025,February,21,1,3,2,2,1,FRA,Offline TA/TO,Direct,5,0,Refundable,431,28,Transient-Party,276.4,2,Canceled
100603,Resort Hotel,329,2024,April,16,0,3,3,0,1,FRA,Groups,GDS,1,3,No Deposit,224,3,Transient-Party,344.09,1,Check-Out
100604,City Hotel,328,2023,November,21,1,4,3,0,1,CAN,Corporate,Corporate,4,1,No Deposit,236,24,Transient-Party,339.7,3,Canceled
100605,City Hotel,157,2025,August,7,0,1,3,2,1,NLD,Offline TA/TO,Direct,2,4,No Deposit,59,26,Group,337.48,2,Canceled
100606,City Hotel,245,2023,February,4,4,6,3,2,0,DEU,Online TA,TA/TO,4,1,Non Refund,481,14,Transient,344.07,4,Check-Out
100607,Resort Hotel,241,2024,June,6,2,4,1,2,0,USA,Groups,GDS,1,3,Refundable,285,8,Transient,101.52,5,Check-Out
100608,Resort Hotel,365,2024,February,4,0,1,3,0,0,UAE,Online TA,GDS,4,3,No Deposit,179,17,Contract,281.5,3,Check-Out
100609,City Hotel,244,2025,February,4,1,7,2,0,0,UAE,Corporate,Corporate,1,2,Refundable,212,44,Transient,293.83,4,Canceled
100610,Resort Hotel,126,2023,January,11,3,3,2,1,1,UAE,Direct,Corporate,4,4,Non Refund,480,23,Group,88.49,1,Check-Out
100611,Resort Hotel,49,2024,February,14,0,5,4,,1,SGP,Direct,Corporate,4,1,Non Refund,300,44,Transient,168.59,5,Check-Out
100612,City Hotel,84,2023,November,18,4,3,4,1,1,AUS,Online TA,TA/TO,4,1,Refundable,465,13,Transient,273.64,4,Check-Out
100613,City Hotel,153,2025,December,14,2,5,2,1,1,FRA,Direct,Corporate,3,4,No Deposit,82,15,Transient-Party,87.28,3,Check-Out
100614,Resort Hotel,19,2025,May,25,1,4,3,0,1,GBR,Direct,Corporate,1,2,Non Refund,28,18,Transient-Party,273.04,2,Check-Out
100615,Resort Hotel,34,2024,December,14,3,6,3,0,0,AUS,Online TA,Corporate,2,0,No Deposit,3,41,Contract,110.53,1,Canceled
100616,Resort Hotel,111,2023,September,21,0,5,1,2,1,DEU,Corporate,GDS,4,3,No Deposit,149,11,Transient,329.78,3,Canceled
100617,Resort Hotel,203,2023,December,2,1,5,1,0,0,USA,Groups,Direct,4,4,Non Refund,243,28,Transient-Party,275.6,3,Check-Out
100618,Resort Hotel,227,2024,October,20,3,6,3,2,1,GBR,Direct,Corporate,5,4,Non Refund,324,42,Group,115.98,4,Check-Out
100619,City Hotel,237,2023,June,11,2,4,2,0,1,CAN,Offline TA/TO,Direct,1,0,No Deposit,281,37,Contract,205.41,3,Check-Out
100620,City Hotel,94,2023,June,13,0,1,4,2,1,CAN,Corporate,Corporate,0,0,No Deposit,267,32,Contract,326.88,5,No-Show
100621,Resort Hotel,108,2024,January,19,2,4,4,2,0,UAE,Corporate,Corporate,3,4,Non Refund,233,22,Group,339.18,4,Check-Out
100622,City Hotel,82,2023,June,4,3,1,4,1,0,FRA,Corporate,Corporate,1,4,No Deposit,404,33,Contract,96.93,1,Check-Out
100623,City Hotel,69,2024,January,2,2,6,4,1,0,AUS,Direct,GDS,4,4,Non Refund,18,10,Transient-Party,118.29,1,Canceled
100624,City Hotel,241,2025,December,15,4,1,3,2,1,AUS,Corporate,TA/TO,4,,Refundable,73,39,Group,120.51,4,Check-Out
100625,Resort Hotel,350,2025,November,7,0,5,3,0,0,DEU,Direct,Corporate,5,3,Non Refund,289,35,Group,223.64,1,Check-Out
100626,Resort Hotel,349,2023,November,19,4,4,2,2,0,UAE,Corporate,TA/TO,1,1,No Deposit,436,12,Contract,63.9,3,Check-Out
100627,Resort Hotel,360,2023,May,3,0,5,3,2,1,AUS,Groups,Corporate,1,0,Non Refund,32,46,Transient-Party,176.81,1,Check-Out
100628,City Hotel,177,2025,January,28,3,7,1,1,1,DEU,Online TA,Direct,2,1,Non Refund,166,11,Transient-Party,328.99,5,Check-Out
100629,Resort Hotel,285,2023,September,11,1,6,3,0,0,AUS,Online TA,Direct,4,2,Refundable,172,37,Transient,111,0,Canceled
100630,Resort Hotel,209,2024,September,27,2,4,4,0,0,NLD,Direct,TA/TO,5,4,Refundable,60,49,Group,130.7,1,Check-Out
100631,City Hotel,187,2025,April,25,2,5,3,0,1,SGP,Corporate,Direct,1,2,No Deposit,414,48,Group,159.74,1,
100632,City Hotel,338,2023,January,16,3,1,4,2,0,SGP,Offline TA/TO,Direct,5,3,Non Refund,134,47,Group,57.48,5,Check-Out
100633,City Hotel,269,2023,February,15,3,7,1,2,1,DEU,Groups,GDS,1,0,Refundable,107,40,Group,336.49,3,No-Show
100634,City Hotel,321,2025,October,22,4,7,3,1,0,DEU,Online TA,TA/TO,5,1,Non Refund,430,18,Transient,189.88,1,Check-Out
100635,City Hotel,236,2023,December,7,4,5,3,1,0,DEU,,Corporate,4,3,No Deposit,46,41,Transient-Party,182.01,0,Check-Out
100636,City Hotel,74,2023,January,21,1,6,1,2,0,AUS,Online TA,TA/TO,4,2,Refundable,354,3,Transient,218.19,4,Check-Out
100637,Resort Hotel,92,2025,August,9,2,4,4,2,0,NLD,Offline TA/TO,GDS,5,0,Refundable,126,7,Transient,204.08,1,Canceled
